OrderID,CustomerID,CustomerName,Email,Phone,OrderDate,ProductID,ProductName,Category,Quantity,UnitPrice,Discount,TaxRate,ShippingCost,TotalAmount,PaymentMethod,OrderStatus,ShippingAddress,City,State,ZipCode,Country
ORD100001,CUST6499,Customer 6499,customer6499@example.com,+1-555-7749,2023-04-16 13:00:00,PRD885,Product 885,Toys,2,351.92,0.22,0.08,9.76,602.67,PayPal,Pending,2849 Main St,City1,OH,27130,USA
ORD100002,CUST6668,Customer 6668,customer6668@example.com,+1-555-3710,2023-04-02 09:00:00,PRD826,Product 826,Toys,6,860.05,0.25,0.08,7.96,4187.8,Cash on Delivery,Delivered,1239 Main St,City47,NY,76258,USA
ORD100003,CUST3409,Customer 3409,customer3409@example.com,+1-555-5221,2023-08-29 23:00:00,PRD195,Product 195,Electronics,9,987.62,0.03,0.08,7.65,9319.33,PayPal,Processing,8105 Main St,City100,CA,90995,USA
ORD100004,CUST9439,Customer 9439,customer9439@example.com,+1-555-2329,2023-12-14 08:00:00,PRD254,Product 254,Toys,7,394.37,0.29,0.08,8.19,2125.01,Cash on Delivery,Delivered,1503 Main St,City25,NC,58513,USA
ORD100005,CUST8115,Customer 8115,customer8115@example.com,+1-555-3586,2023-04-19 11:00:00,PRD937,Product 937,Toys,8,61.26,0.05,0.08,21.72,524.54,Credit Card,Pending,6040 Main St,City20,NC,77403,USA
ORD100006,CUST6440,Customer 6440,customer6440@example.com,+1-555-5310,2023-06-23 16:00:00,PRD248,Product 248,Toys,7,377.29,0.12,0.08,12.18,2522.21,PayPal,Delivered,7144 Main St,City65,OH,15567,USA
ORD100007,CUST2509,Customer 2509,customer2509@example.com,+1-555-9046,2023-04-02 02:00:00,PRD590,Product 590,Books,10,667.23,0.3,0.08,11.39,5055.65,Cash on Delivery,Pending,4337 Main St,City92,MI,47319,USA
ORD100008,CUST7325,Customer 7325,customer7325@example.com,+1-555-4171,2023-07-11 03:00:00,PRD288,Product 288,Health,3,907.06,0.2,0.08,8.45,2359.55,Cash on Delivery,Cancelled,1319 Main St,City78,MI,23017,USA
ORD100009,CUST4540,Customer 4540,customer4540@example.com,+1-555-8722,2023-07-11 00:00:00,PRD683,Product 683,Automotive,9,208.56,0.16,0.08,10.65,1713.5,Debit Card,Delivered,7649 Main St,City41,TX,61212,USA
ORD100010,CUST2451,Customer 2451,customer2451@example.com,+1-555-8356,2023-02-14 20:00:00,PRD105,Product 105,Books,8,215.01,0.19,0.08,22.59,1527.32,Debit Card,Processing,6708 Main St,City88,GA,72435,USA
ORD100011,CUST2107,Customer 2107,customer2107@example.com,+1-555-6588,2023-01-13 00:00:00,PRD958,Product 958,Automotive,7,126.15,0.23,0.08,11.68,746.02,Credit Card,Shipped,7543 Main St,City88,PA,37089,USA
ORD100012,CUST2494,Customer 2494,customer2494@example.com,+1-555-7086,2023-02-19 04:00:00,PRD512,Product 512,Health,7,962.17,0.04,0.08,18.0,7001.04,Cash on Delivery,Delivered,2452 Main St,City51,NY,44437,USA
ORD100013,CUST2347,Customer 2347,customer2347@example.com,+1-555-5937,2023-05-21 04:00:00,PRD130,Product 130,Books,1,501.87,0.28,0.08,11.04,401.29,Credit Card,Shipped,6812 Main St,City99,GA,36415,USA
ORD100014,CUST9931,Customer 9931,customer9931@example.com,+1-555-1522,2023-06-14 05:00:00,PRD576,Product 576,Electronics,6,350.43,0.07,0.08,6.31,2118.14,Debit Card,Cancelled,3783 Main St,City12,FL,25080,USA
ORD100015,CUST1640,Customer 1640,customer1640@example.com,+1-555-5300,2023-11-14 06:00:00,PRD388,Product 388,Sports,5,914.24,0.21,0.08,11.88,3912.03,Cash on Delivery,Processing,4847 Main St,City85,MI,83195,USA
ORD100016,CUST3070,Customer 3070,customer3070@example.com,+1-555-5331,2023-08-10 21:00:00,PRD387,Product 387,Electronics,3,722.39,0.18,0.08,13.43,1932.68,Bank Transfer,Delivered,1683 Main St,City35,CA,59387,USA
ORD100017,CUST1965,Customer 1965,customer1965@example.com,+1-555-3484,2023-03-21 15:00:00,PRD357,Product 357,Toys,6,496.24,0.15,0.08,7.88,2741.17,Credit Card,Shipped,781 Main St,City22,GA,17910,USA
ORD100018,CUST7128,Customer 7128,customer7128@example.com,+1-555-1736,2023-10-20 08:00:00,PRD833,Product 833,Home & Garden,7,534.81,0.14,0.08,19.9,3497.02,PayPal,Cancelled,6834 Main St,City23,NY,25692,USA
ORD100019,CUST1570,Customer 1570,customer1570@example.com,+1-555-9397,2023-10-19 03:00:00,PRD527,Product 527,Automotive,9,971.53,0.06,0.08,5.64,8882.32,Bank Transfer,Shipped,9582 Main St,City10,PA,83393,USA
ORD100020,CUST4024,Customer 4024,customer4024@example.com,+1-555-3891,2023-06-10 07:00:00,PRD510,Product 510,Home & Garden,6,394.51,0.15,0.08,13.21,2186.17,Bank Transfer,Cancelled,2274 Main St,City20,GA,30296,USA
ORD100021,CUST2574,Customer 2574,customer2574@example.com,+1-555-7937,2023-01-30 12:00:00,PRD474,Product 474,Automotive,7,101.64,0.27,0.08,7.76,568.69,Cash on Delivery,Delivered,5314 Main St,City13,MI,39469,USA
ORD100022,CUST6414,Customer 6414,customer6414@example.com,+1-555-4970,2023-06-09 17:00:00,PRD170,Product 170,Health,7,671.0,0.03,0.08,24.36,4944.94,Bank Transfer,Shipped,2533 Main St,City23,FL,69120,USA
ORD100023,CUST2963,Customer 2963,customer2963@example.com,+1-555-5334,2023-09-26 07:00:00,PRD514,Product 514,Toys,5,157.91,0.16,0.08,6.85,723.13,Credit Card,Processing,8780 Main St,City56,MI,71595,USA
ORD100024,CUST9493,Customer 9493,customer9493@example.com,+1-555-2395,2023-07-17 04:00:00,PRD229,Product 229,Health,6,308.13,0.1,0.08,21.25,1818.26,Credit Card,Pending,2257 Main St,City39,GA,97202,USA
ORD100025,CUST1278,Customer 1278,customer1278@example.com,+1-555-2084,2023-01-06 00:00:00,PRD155,Product 155,Toys,2,35.52,0.15,0.08,16.38,81.59,Cash on Delivery,Pending,777 Main St,City56,FL,95926,USA
ORD100026,CUST2614,Customer 2614,customer2614@example.com,+1-555-5008,2023-11-24 20:00:00,PRD681,Product 681,Electronics,1,461.92,0.04,0.08,11.15,490.07,Bank Transfer,Processing,2297 Main St,City77,OH,12631,USA
ORD100027,CUST6184,Customer 6184,customer6184@example.com,+1-555-6910,2023-09-18 03:00:00,PRD801,Product 801,Electronics,5,622.01,0.07,0.08,8.25,3131.98,Debit Card,Processing,7760 Main St,City18,FL,46294,USA
ORD100028,CUST8751,Customer 8751,customer8751@example.com,+1-555-6480,2023-01-12 01:00:00,PRD717,Product 717,Health,5,621.54,0.26,0.08,19.33,2503.0,Debit Card,Processing,6739 Main St,City76,NY,65193,USA
ORD100029,CUST6977,Customer 6977,customer6977@example.com,+1-555-6834,2023-01-26 22:00:00,PRD646,Product 646,Books,5,650.97,0.22,0.08,22.69,2764.58,PayPal,Shipped,7807 Main St,City98,GA,84586,USA
ORD100030,CUST7917,Customer 7917,customer7917@example.com,+1-555-1094,2023-09-25 08:00:00,PRD237,Product 237,Clothing,9,962.33,0.21,0.08,11.3,7400.84,Bank Transfer,Delivered,1849 Main St,City25,CA,87963,USA
ORD100031,CUST6830,Customer 6830,customer6830@example.com,+1-555-7463,2023-01-28 22:00:00,PRD649,Product 649,Automotive,1,248.59,0.11,0.08,20.9,259.84,Debit Card,Processing,5657 Main St,City86,IL,39630,USA
ORD100032,CUST1221,Customer 1221,customer1221@example.com,+1-555-7363,2023-10-23 04:00:00,PRD345,Product 345,Automotive,5,906.44,0.17,0.08,20.81,4083.47,Bank Transfer,Delivered,2309 Main St,City37,NY,68806,USA
ORD100033,CUST3491,Customer 3491,customer3491@example.com,+1-555-9992,2023-10-12 23:00:00,PRD288,Product 288,Home & Garden,10,70.04,0.24,0.08,16.09,590.98,Cash on Delivery,Cancelled,8551 Main St,City3,FL,76276,USA
ORD100034,CUST1972,Customer 1972,customer1972@example.com,+1-555-2061,2023-04-09 22:00:00,PRD410,Product 410,Automotive,7,70.26,0.11,0.08,23.76,496.5,Credit Card,Processing,1844 Main St,City75,PA,75777,USA
ORD100035,CUST3786,Customer 3786,customer3786@example.com,+1-555-4683,2023-07-03 16:00:00,PRD473,Product 473,Toys,10,751.84,0.26,0.08,17.97,6026.68,Bank Transfer,Pending,8685 Main St,City63,TX,81728,USA
ORD100036,CUST9883,Customer 9883,customer9883@example.com,+1-555-2405,2023-11-22 03:00:00,PRD788,Product 788,Electronics,4,669.66,0.02,0.08,12.64,2847.71,PayPal,Pending,3590 Main St,City90,NC,29150,USA
ORD100037,CUST2985,Customer 2985,customer2985@example.com,+1-555-8375,2023-09-23 07:00:00,PRD841,Product 841,Automotive,9,775.6,0.17,0.08,14.73,6271.96,Cash on Delivery,Cancelled,4660 Main St,City97,IL,15932,USA
ORD100038,CUST5740,Customer 5740,customer5740@example.com,+1-555-9477,2023-12-15 11:00:00,PRD269,Product 269,Toys,3,868.22,0.02,0.08,17.32,2774.09,PayPal,Cancelled,7590 Main St,City38,NC,97157,USA
ORD100039,CUST1650,Customer 1650,customer1650@example.com,+1-555-7982,2023-06-05 22:00:00,PRD160,Product 160,Clothing,7,97.17,0.29,0.08,5.18,526.75,Bank Transfer,Processing,9445 Main St,City14,NY,31395,USA
ORD100040,CUST6766,Customer 6766,customer6766@example.com,+1-555-8706,2023-01-20 09:00:00,PRD709,Product 709,Automotive,8,415.96,0.3,0.08,14.03,2529.76,Bank Transfer,Pending,5970 Main St,City79,MI,47048,USA
ORD100041,CUST3604,Customer 3604,customer3604@example.com,+1-555-5536,2023-12-12 03:00:00,PRD689,Product 689,Toys,2,161.89,0.1,0.08,5.11,319.82,PayPal,Cancelled,5450 Main St,City11,NC,87487,USA
ORD100042,CUST8202,Customer 8202,customer8202@example.com,+1-555-4393,2023-12-02 05:00:00,PRD598,Product 598,Electronics,7,938.84,0.27,0.08,10.14,5191.41,PayPal,Cancelled,6308 Main St,City89,GA,55820,USA
ORD100043,CUST6687,Customer 6687,customer6687@example.com,+1-555-2666,2023-01-27 19:00:00,PRD731,Product 731,Electronics,6,354.6,0.02,0.08,24.08,2275.93,Bank Transfer,Cancelled,7845 Main St,City62,GA,43348,USA
ORD100044,CUST3093,Customer 3093,customer3093@example.com,+1-555-1492,2023-04-12 07:00:00,PRD410,Product 410,Sports,4,166.48,0.21,0.08,5.61,573.77,Debit Card,Processing,5733 Main St,City71,MI,35797,USA
